,-1,-2,-3
blocks.0.ln1_post.hook_normalized x blocks.0.ln2_post.hook_normalized,-0.19981030724159043,-0.08988076445494864,-1.1271750852813218
blocks.0.ln1_post.hook_normalized x blocks.0.hook_resid_post,-0.10942427897149343,0.24848066868546215,-0.4067726958742319
blocks.0.ln1_post.hook_normalized x blocks.1.ln1_post.hook_normalized,-0.21296050666134914,0.15419741071979354,-1.132468127245727
blocks.0.ln1_post.hook_normalized x blocks.1.ln2_post.hook_normalized,-0.20616769281468383,-0.02439678404702783,-0.9778087135449294
blocks.0.ln1_post.hook_normalized x blocks.2.ln1_post.hook_normalized,-0.1609215699453892,-0.0911414941581754,-1.2862394132169577
blocks.0.ln1_post.hook_normalized x blocks.2.ln2_post.hook_normalized,-0.17280747452151246,-0.058512579684298016,-1.1120975157296904
blocks.0.ln1_post.hook_normalized x blocks.3.ln1_post.hook_normalized,-0.06366752538603948,0.08379956122484056,-1.1537571265913966
blocks.0.ln1_post.hook_normalized x blocks.3.ln2_post.hook_normalized,-0.511972659515668,0.04481969691738452,-0.8471539538533368
blocks.0.ln1_post.hook_normalized x blocks.4.ln1_post.hook_normalized,-0.20545388035298662,-0.0653563077893291,-1.1897440790151421
blocks.0.ln1_post.hook_normalized x blocks.4.ln2_post.hook_normalized,-0.12286856001964686,-0.23602260843829015,-1.1999700962227546
blocks.0.ln1_post.hook_normalized x blocks.5.ln1_post.hook_normalized,0.004340003247193636,0.08829640622323076,-1.040744916276731
blocks.0.ln1_post.hook_normalized x blocks.5.ln2_post.hook_normalized,-0.15767794270757363,-0.059855295168702805,-1.1829806855356204
blocks.0.ln1_post.hook_normalized x blocks.6.ln1_post.hook_normalized,-0.07362847457997135,-0.07202397345666856,-1.133560152878768
blocks.0.ln1_post.hook_normalized x blocks.6.ln2_post.hook_normalized,-0.39094951422263047,0.31518086401966394,-0.7592134211920127
blocks.0.ln1_post.hook_normalized x blocks.7.ln1_post.hook_normalized,-0.030088195305175258,0.12080639407109539,-1.1562273928430669
blocks.0.ln1_post.hook_normalized x blocks.7.ln2_post.hook_normalized,-0.05554042920365565,-0.0622938828611852,-1.1356900457960113
blocks.0.ln1_post.hook_normalized x blocks.8.ln1_post.hook_normalized,-0.15977057679720064,-0.04637143045084846,-0.9944506722897126
blocks.0.ln1_post.hook_normalized x blocks.8.ln2_post.hook_normalized,-0.023808046517432402,-0.05306884942430501,-1.0624407045609954
blocks.0.ln1_post.hook_normalized x blocks.9.ln1_post.hook_normalized,-0.19656731533852034,-0.00712110807747135,-1.1881381602353884
blocks.0.ln1_post.hook_normalized x blocks.9.ln2_post.hook_normalized,-0.19234366956110716,-0.05747687128673484,-1.025346777021292
blocks.0.ln1_post.hook_normalized x blocks.10.ln1_post.hook_normalized,-0.07396477511673516,0.26790247636373155,-0.3315075977363737
blocks.0.ln1_post.hook_normalized x blocks.10.ln2_post.hook_normalized,0.25027159561600054,-0.06581820753133871,-0.6778451216221091
